obs,F182013_sum,F182013_mean,F152006_sum,F152006_mean,F152004_sum,F152004_mean,F162007_sum,F162007_mean,F152005_sum,F152005_mean,F152002_sum,F152002_mean,F142002_sum,F142002_mean,F182011_sum,F182011_mean,F182012_sum,F182012_mean,F152007_sum,F152007_mean,F162006_sum,F162006_mean,F162009_sum,F162009_mean,F162004_sum,F162004_mean,F142001_sum,F142001_mean,F142000_sum,F142000_mean,F101992_sum,F101992_mean,F182010_sum,F182010_mean,F142003_sum,F142003_mean,F121995_sum,F121995_mean,F152001_sum,F152001_mean,F152003_sum,F152003_mean,F162005_sum,F162005_mean,F152000_sum,F152000_mean,F162008_sum,F162008_mean
2216,28.0,28.0,23.0,23.0,25.0,25.0,25.0,25.0,36.0,36.0,25.0,25.0,31.0,31.0,45.0,45.0,26.0,26.0,16.0,16.0,24.0,24.0,31.0,31.0,33.0,33.0,20.0,20.0,22.0,22.0,23.0,23.0,34.0,34.0,24.0,24.0,31.0,31.0,32.0,32.0,29.0,29.0,20.0,20.0,35.0,35.0,31.0,31.0
2215,46.0,46.0,30.0,30.0,32.0,32.0,39.0,39.0,45.0,45.0,34.0,34.0,44.0,44.0,57.0,57.0,37.0,37.0,26.0,26.0,36.0,36.0,51.0,51.0,50.0,50.0,36.0,36.0,31.0,31.0,28.0,28.0,46.0,46.0,41.0,41.0,42.0,42.0,42.0,42.0,47.0,47.0,33.0,33.0,50.0,50.0,43.0,43.0
2214,56.0,56.0,39.0,39.0,46.0,46.0,50.0,50.0,50.0,50.0,44.0,44.0,50.0,50.0,61.0,61.0,44.0,44.0,35.0,35.0,39.0,39.0,55.0,55.0,55.0,55.0,46.0,46.0,45.0,45.0,42.0,42.0,53.0,53.0,46.0,46.0,47.0,47.0,50.0,50.0,50.0,50.0,39.0,39.0,53.0,53.0,50.0,50.0
10081,14.0,14.0,16.0,16.0,14.0,14.0,15.0,15.0,10.0,10.0,14.0,14.0,12.0,12.0,11.0,11.0,14.0,14.0,16.0,16.0,18.0,18.0,13.0,13.0,14.0,14.0,14.0,14.0,16.0,16.0,12.0,12.0,19.0,19.0,16.0,16.0,14.0,14.0,12.0,12.0,12.0,12.0,15.0,15.0,13.0,13.0,14.0,14.0
2219,0.0,0.0,6.0,6.0,4.0,4.0,6.0,6.0,7.0,7.0,5.0,5.0,4.0,4.0,0,0,5.0,5.0,4.0,4.0,5.0,5.0,0,0,7.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,0,0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,9.0,9.0,6.0,6.0
2218,9.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,14.0,14.0,12.0,12.0,8.0,8.0,17.0,17.0,6.0,6.0,5.0,5.0,6.0,6.0,12.0,12.0,11.0,11.0,7.0,7.0,6.0,6.0,7.0,7.0,19.0,19.0,5.0,5.0,12.0,12.0,13.0,13.0,11.0,11.0,7.0,7.0,15.0,15.0,8.0,8.0
6137,20.0,20.0,12.0,12.0,11.0,11.0,21.0,21.0,10.0,10.0,15.0,15.0,9.0,9.0,17.0,17.0,21.0,21.0,10.0,10.0,17.0,17.0,23.0,23.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,20.0,20.0,11.0,11.0,7.0,7.0,14.0,14.0,9.0,9.0,12.0,12.0,12.0,12.0,19.0,19.0
4518,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
4519,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
4512,62.0,62.0,60.0,60.0,62.0,62.0,63.0,63.0,61.0,61.0,61.0,61.0,60.0,60.0,63.0,63.0,63.0,63.0,58.0,58.0,63.0,63.0,61.0,61.0,62.0,62.0,60.0,60.0,62.0,62.0,54.0,54.0,63.0,63.0,63.0,63.0,59.0,59.0,62.0,62.0,62.0,62.0,61.0,61.0,62.0,62.0,63.0,63.0
4513,62.0,62.0,60.0,60.0,62.0,62.0,63.0,63.0,62.0,62.0,62.0,62.0,61.0,61.0,63.0,63.0,63.0,63.0,57.0,57.0,61.0,61.0,62.0,62.0,62.0,62.0,60.0,60.0,61.0,61.0,57.0,57.0,63.0,63.0,62.0,62.0,59.0,59.0,62.0,62.0,63.0,63.0,61.0,61.0,63.0,63.0,63.0,63.0
4510,62.0,62.0,56.0,56.0,57.0,57.0,62.0,62.0,51.0,51.0,58.0,58.0,52.0,52.0,62.0,62.0,63.0,63.0,55.0,55.0,60.0,60.0,60.0,60.0,57.0,57.0,54.0,54.0,53.0,53.0,44.0,44.0,62.0,62.0,59.0,59.0,46.0,46.0,58.0,58.0,56.0,56.0,58.0,58.0,53.0,53.0,63.0,63.0
4511,62.0,62.0,61.0,61.0,60.0,60.0,63.0,63.0,57.0,57.0,61.0,61.0,59.0,59.0,63.0,63.0,63.0,63.0,58.0,58.0,62.0,62.0,61.0,61.0,61.0,61.0,59.0,59.0,62.0,62.0,51.0,51.0,63.0,63.0,62.0,62.0,55.0,55.0,62.0,62.0,57.0,57.0,60.0,60.0,60.0,60.0,63.0,63.0
4516,63.0,63.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,60.0,60.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,61.0,61.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0
